plot,mean_wt_c,total_cover,total_richness,year,richness_change
J2,4.33,98,16,2020,11
C2,5.98,137,21,2020,8
K3,3.78,104,9,2020,8
G10,4.54,97,16,2020,7
K2,3.07,95,10,2020,7
C3,5.32,120,17,2020,6
F11,4.72,155,18,2020,6
E15,4.53,118,15,2020,6
H8,4.38,117,16,2020,6
C13,3.75,162,15,2020,6
H11,3.45,145,14,2020,6
J10,6.56,75,16,2020,5
G2,6.23,126,18,2020,5
G16,5.91,53,14,2020,4
J9,5.78,123,16,2020,4
C12,4.94,102,15,2020,4
E6,8.54,94,11,2020,3
D2,7.16,101,18,2020,3
F5,6.42,64,13,2020,3
D6,5.99,90,14,2020,3
F16,5.24,98,15,2020,3
H1,5.19,52,14,2020,3
E10,5.17,114,16,2020,3
E5,3.87,60,13,2020,3
I12,3.22,23,11,2020,3
H13,2.78,81,10,2020,3
A12,2.32,231,11,2020,3
G12,2.22,98,7,2020,3
I6,7.82,99,15,2020,2
E14,6.19,154,18,2020,2
F2,5.79,107,20,2020,2
J6,5.13,122,14,2020,2
D9,5.11,80,5,2020,2
H3,5.05,88,15,2020,2
H6,3.88,129,14,2020,2
B10,3.78,111,11,2020,2
A24,2.44,88,5,2020,2
L8,0.55,80,7,2020,2
G5,8.53,175,13,2020,1
C1,7.12,66,13,2020,1
I10,6.35,92,16,2020,1
G3,6.35,136,15,2020,1
E2,6.18,136,17,2020,1
H10,5.95,116,12,2020,1
D7,5.11,131,15,2020,1
J11,4.77,178,11,2020,1
D12,4.69,131,17,2020,1
F9,4.05,126,8,2020,1
K9,3.62,128,11,2020,1
E9,3.5,48,4,2020,1
I15,3.33,200,9,2020,1
B23,2.57,124,10,2020,1
L3,1.75,53,6,2020,1
A25,1.67,45,4,2020,1
I9,8.03,86,13,2020,0
G4,6.48,126,17,2020,0
J4,6.16,95,18,2020,0
C10,5.45,104,4,2020,0
E11,5.25,76,14,2020,0
D22,5,100,1,2020,0
F13,4.84,211,9,2020,0
G14,4.81,170,15,2020,0
E20,4.5,100,2,2020,0
D18,4.43,58,3,2020,0
I2,4.18,77,10,2020,0
K1,4.04,81,15,2020,0
K10,3.94,232,13,2020,0
K4,3.93,116,11,2020,0
F12,3.54,59,8,2020,0
B15,3.39,178,8,2020,0
I13,3.04,75,9,2020,0
A23,3.01,75,6,2020,0
I14,2.87,103,9,2020,0
A9,2.77,196,6,2020,0
D19,2.6,100,3,2020,0
E8,2.56,125,4,2020,0
J1,1.42,127,8,2020,0
A13,0.9,126,8,2020,0
L13,0.75,20,2,2020,0
A17,0.52,63,10,2020,0
D3,7.93,114,13,2020,-1
E3,7.87,109,14,2020,-1
C6,6.84,208,17,2020,-1
H9,6.5,113,14,2020,-1
H5,6.48,85,12,2020,-1
B19,6.41,131,12,2020,-1
J5,5.93,114,13,2020,-1
C9,5.9,21,2,2020,-1
B4,5.83,183,11,2020,-1
F6,5.8,88,6,2020,-1
H7,5.59,104,16,2020,-1
B5,5.35,111,14,2020,-1
C11,4.86,118,11,2020,-1
H14,4.42,79,12,2020,-1
B9,4.4,25,3,2020,-1
D16,4.3,189,17,2020,-1
B18,2.99,169,14,2020,-1
K11,2.35,161,11,2020,-1
I11,2.11,123,10,2020,-1
D20,1.63,95,2,2020,-1
L4,1.03,138,7,2020,-1
I3,8.82,114,8,2020,-2
E13,6.54,134,17,2020,-2
D10,5.6,126,13,2020,-2
E1,5.59,56,12,2020,-2
E4,5.54,185,13,2020,-2
E12,5.1,91,12,2020,-2
E21,5,100,2,2020,-2
B6,4.53,103,9,2020,-2
C4,4.53,184,13,2020,-2
D8,4.53,154,10,2020,-2
C16,4.43,133,13,2020,-2
F20,4.35,100,4,2020,-2
B12,4.32,103,9,2020,-2
D21,4.3,100,4,2020,-2
C14,3.95,171,12,2020,-2
A19,3.71,111,8,2020,-2
A4,3.48,194,7,2020,-2
H12,2.26,91,12,2020,-2
L11,1.99,148,5,2020,-2
A10,1.15,86,6,2020,-2
A18,0.32,28,4,2020,-2
I5,8.9,132,13,2020,-3
G1,7.21,75,16,2020,-3
G8,6.64,90,13,2020,-3
G15,5.61,155,15,2020,-3
F15,5.12,139,16,2020,-3
F8,4.74,140,11,2020,-3
B16,4.33,116,12,2020,-3
F19,4.31,80,4,2020,-3
E16,4.15,99,11,2020,-3
H15,4.04,99,10,2020,-3
E19,3.65,85,2,2020,-3
G11,3.32,57,8,2020,-3
A5,3.04,158,7,2020,-3
A22,2.48,60,6,2020,-3
K8,2.31,172,8,2020,-3
A21,2.06,36,6,2020,-3
L10,1.43,49,8,2020,-3
A15,0.92,51,5,2020,-3
L9,0.39,165,5,2020,-3
F4,7.35,126,11,2020,-4
C7,6.03,151,19,2020,-4
F21,5.41,110,3,2020,-4
B13,5.29,126,12,2020,-4
C19,5,75,1,2020,-4
F10,4.92,133,9,2020,-4
H4,4.85,151,10,2020,-4
J3,4.32,96,7,2020,-4
B8,4.32,106,10,2020,-4
I4,4.23,86,9,2020,-4
D4,4.13,141,10,2020,-4
D13,3.92,165,13,2020,-4
H16,3.85,143,8,2020,-4
B22,3.55,188,7,2020,-4
B7,3.11,138,8,2020,-4
F18,2.76,148,8,2020,-4
J12,1.68,25,7,2020,-4
K6,1.67,115,11,2020,-4
G13,1.24,210,4,2020,-4
K12,1.08,143,9,2020,-4
L7,0.97,38,10,2020,-4
A3,0.23,43,8,2020,-4
D5,7.28,175,10,2020,-5
I7,6.65,100,12,2020,-5
F14,6.5,133,13,2020,-5
J8,6.33,85,9,2020,-5
E7,5.82,213,16,2020,-5
I8,5.72,122,13,2020,-5
D1,5.49,87,13,2020,-5
D15,5.22,130,12,2020,-5
E22,5.08,120,3,2020,-5
C15,4.87,126,14,2020,-5
K5,4.15,65,11,2020,-5
K7,2.97,128,11,2020,-5
A2,0.75,16,6,2020,-5
L5,0.75,106,7,2020,-5
F3,6.89,116,13,2020,-6
B3,5,135,7,2020,-6
C20,4.9,83,2,2020,-6
G6,4.35,162,11,2020,-6
C23,3.52,93,9,2020,-6
B17,3.22,199,11,2020,-6
A16,1.84,70,6,2020,-6
L12,1.47,15,5,2020,-6
L2,0.64,194,7,2020,-6
A7,0.53,36,4,2020,-6
J7,8.38,146,9,2020,-7
C5,7.01,87,14,2020,-7
B2,5.81,138,9,2020,-7
C22,5.5,50,7,2020,-7
C8,4.8,130,11,2020,-7
D11,3.76,74,11,2020,-7
B11,3.41,107,8,2020,-7
L1,2.44,111,5,2020,-7
A20,1.91,107,6,2020,-7
B20,6.21,160,8,2020,-8
G9,6,111,11,2020,-8
G7,5.65,95,11,2020,-8
F7,5.48,124,9,2020,-8
H2,5.38,60,11,2020,-8
E17,4.42,235,8,2020,-8
F1,3.91,77,14,2020,-8
B21,3.28,287,6,2020,-8
B24,2.54,204,5,2020,-8
E18,2.12,137,5,2020,-8
L6,1.8,106,7,2020,-8
B1,6.24,51,11,2020,-9
D14,5.58,71,13,2020,-9
B14,1.99,167,8,2020,-9
A1,1.2,65,5,2020,-9
A11,2.88,34,4,2020,-10
A8,0.98,41,4,2020,-10
A14,2,33,5,2020,-11
D17,5,100,1,2020,-12
A6,0.6,5,2,2020,-12
C21,5.91,114,6,2020,-13
C17,5,100,1,2020,-13
I1,5.95,57,7,2020,-14
C18,4.81,105,2,2020,-16
